case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,wfit_w,wfit_wsig,wfit_om,wfit_omsig,stan_w,stan_wsig,stan_om,stan_omsig,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz
50SNIa50SNIbc,Ibc,62.0,1500,521.0,74.0,26.0,-0.498,0.0514,0.3,0.01,-1.73,0.11,0.44,0.01,-1.7,0.11,0.44,0.01
50SNIa50SNIax,Iax,52.0,1500,192.0,89.0,11.0,-0.48100000000000004,0.05,0.3,0.01,-1.75,0.11,0.45,0.01,-1.73,0.11,0.44,0.01
50SNIa50AGN,AGN,88.0,1500,86.0,95.0,5.0,-0.919,0.1092,0.3013,0.01,-1.12,0.09,0.33,0.03,-1.12,0.09,0.33,0.03
50SNIa50SLSN-I,SLSN,95.0,1500,23.0,98.0,2.0,-0.919,0.1092,0.3013,0.01,-1.12,0.09,0.33,0.03,-1.12,0.09,0.33,0.03
50SNIa50SNII,II,42.0,1500,1500.0,50.0,50.0,-0.426,0.0466,0.3,0.01,-1.79,0.1,0.45,0.01,-1.76,0.1,0.44,0.01
50SNIa50TDE,TDE,15.0,1500,16.0,99.0,1.0,-0.919,0.1092,0.3013,0.01,-1.12,0.09,0.33,0.03,-1.12,0.09,0.33,0.03
50SNIa50KN,,,1500,,100.0,,-0.919,0.1092,0.3013,0.01,-1.12,0.09,0.33,0.03,-1.12,0.09,0.33,0.03
50SNIa50SNIa-91bg,91bg,67.0,1500,86.0,95.0,5.0,-0.919,0.1085,0.3013,0.01,-1.11,0.09,0.33,0.03,-1.11,0.09,0.33,0.03
68SNIa32SNIbc,Ibc,62.0,2040,521.0,80.0,20.0,-0.586,0.0496,0.3,0.01,-1.58,0.1,0.43,0.02,-1.57,0.1,0.43,0.02
68SNIa32SLSN-I,SLSN,95.0,2040,23.0,99.0,1.0,-0.905,0.0851,0.3,0.0099,-1.08,0.08,0.33,0.03,-1.07,0.08,0.32,0.03
68SNIa32SNIax,Iax,52.0,2040,192.0,91.0,9.0,-0.57,0.0484,0.3,0.01,-1.61,0.1,0.43,0.01,-1.6,0.1,0.43,0.01
75SNIa25SNII,II,42.0,2250,750.0,75.0,25.0,-0.685,0.0551,0.3,0.01,-1.37,0.09,0.4,0.02,-1.37,0.09,0.39,0.02
75SNIa25KN,,,2250,,100.0,,-0.902,0.0822,0.3,0.0099,-1.09,0.08,0.33,0.02,-1.09,0.08,0.33,0.02
90SNIa10KN,,,2700,,100.0,,-0.9009999999999999,0.0748,0.3,0.0099,-1.1,0.07,0.33,0.02,-1.1,0.07,0.33,0.02
90SNIa10SNIa-91bg,91bg,67.0,2700,86.0,97.0,3.0,-0.902,0.0746,0.3,0.0099,-1.1,0.07,0.33,0.02,-1.1,0.07,0.33,0.02
90SNIa10AGN,AGN,88.0,2700,86.0,97.0,3.0,-0.9009999999999999,0.0748,0.3,0.0099,-1.1,0.08,0.33,0.02,-1.1,0.07,0.33,0.02
90SNIa10SNIax,Iax,52.0,2700,192.0,93.0,7.0,-0.643,0.0474,0.3013,0.01,-1.54,0.09,0.42,0.01,-1.53,0.09,0.42,0.01
95SNIa5SNIbc,Ibc,62.0,2850,150.0,95.0,5.0,-0.87,0.0702,0.3013,0.01,-1.17,0.07,0.35,0.02,-1.17,0.07,0.35,0.02
95SNIa5TDE,TDE,15.0,2850,16.0,99.0,1.0,-0.927,0.0765,0.3,0.0099,-1.07,0.07,0.32,0.02,-1.07,0.07,0.32,0.02
95SNIa5SLSN-I,SLSN,95.0,2850,23.0,99.0,1.0,-0.927,0.0765,0.3,0.0099,-1.07,0.07,0.32,0.02,-1.07,0.07,0.32,0.02
95SNIa5SNIax,Iax,52.0,2850,150.0,95.0,5.0,-0.732,0.0538,0.3013,0.01,-1.38,0.08,0.4,0.02,-1.37,0.08,0.39,0.02
98SNIa2KN,,,2940,,100.0,,-0.932,0.0758,0.3,0.0099,-1.05,0.07,0.32,0.02,-1.05,0.07,0.32,0.02
98SNIa2TDE,TDE,15.0,2940,16.0,99.0,1.0,-0.932,0.0758,0.3,0.0099,-1.05,0.07,0.32,0.02,-1.05,0.07,0.32,0.02
99SNIa1SNIbc,Ibc,62.0,2970,30.0,99.0,1.0,-0.945,0.0784,0.3,0.0099,-1.05,0.07,0.32,0.02,-1.04,0.07,0.31,0.02
98SNIa2AGN,AGN,88.0,2940,60.0,98.0,2.0,-0.932,0.0758,0.3,0.0099,-1.05,0.07,0.32,0.02,-1.05,0.07,0.32,0.02
99SNIa1AGN,AGN,88.0,2970,30.0,99.0,1.0,-0.945,0.0776,0.3,0.0098,-1.04,0.07,0.31,0.02,-1.04,0.07,0.31,0.02
99SNIa1SLSN-I,SLSN,95.0,2970,23.0,99.0,1.0,-0.945,0.0776,0.3,0.0098,-1.04,0.07,0.32,0.02,-1.04,0.07,0.31,0.02
perfect,,,3000,,100.0,,-0.9440000000000001,0.0774,0.3,0.0098,-1.05,0.07,0.32,0.02,-1.04,0.07,0.31,0.02
