"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W23","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.109142849209019,0.000778158296158511,0.109134503270736,0.109225622404219,0.984525496317804,0.293382549224038,1000,100
"W24","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.11161707566565,0.000710721906303376,0.11158016291518,0.11181529229948,0.99513404327009,0.978462021954139,1000,100
"W25","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.112331125643209,0.000746381635426602,0.11228216216908,0.112367830930394,0.980118845900144,0.135795456819827,1000,100
"W26","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect6000_lowz_withbias.csv.gz",0.0975757791461801,0.000676199962644698,0.0975938650660786,0.0975590215921016,0.991918569371676,0.815295265089443,1000,100
"W27","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0657278837370475,0.000727444641629314,0.0657121825645533,0.0654231605814017,0.992955942553268,0.88538606474727,1000,100
"W28","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_75SNIa25SNIax_lowz_withbias.csv.gz",0.00106741546869002,0.000268520930919123,0.000983178699425623,0.00094326271348676,0.86650568755492,5.08043234905514e-08,1000,100
"W29","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.0420268852008394,0.000709241654611847,0.0420688462921611,0.0421541075861854,0.981047249102551,0.160277835950534,1000,100
"W30","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.0449237451231749,0.00070006678137058,0.0449677041870718,0.0448920370127921,0.98932106893667,0.609996983777451,1000,100
"W31","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0431827566782684,0.00066626705360194,0.0431858659781085,0.0432861195767432,0.990535258094047,0.707833652065644,1000,100
"W32","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0307939820542483,0.000723785300282337,0.0308447989839567,0.0307918346515873,0.981663440797212,0.178787832967472,1000,100
"W33","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.0408626670595112,0.00065164020971436,0.0408645480497887,0.041031066046982,0.990381727659489,0.695454303458569,1000,100
"W34","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.0779667118272855,0.000733343646902266,0.0780086828472433,0.0782509141777749,0.991355912353333,0.772850985642311,1000,100
"W35","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.055742819181405,0.000709505093679881,0.0556532222923121,0.0557115080368777,0.987817036190348,0.494816087552252,1000,100
"W36","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.064770759230168,0.000639671827950914,0.0648441679383717,0.0648427003673461,0.987973567002664,0.506260174882639,1000,100
"W37","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.0406162961055486,0.000716338713634725,0.0405326403935682,0.0402348280622534,0.976097795283118,0.065773808355588,1000,100
"W38","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.0570811381313273,0.00059101418396959,0.057054742931472,0.0570639700063872,0.987544491090036,0.475251649259836,1000,100
"W39","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.0641414826568128,0.000657638803618358,0.064211941003708,0.0641290138352495,0.976148699644847,0.0663811709814276,1000,100
"W40","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.0583328965453784,0.000687134471079444,0.0582509980380919,0.0583055791225299,0.981748653064306,0.181500564691754,1000,100
"W41","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.0610489951502015,0.000608559844300638,0.0611392788638893,0.0614778880553242,0.975337051351752,0.0573366252738869,1000,100
"W42","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.0576679526942165,0.000643227906734807,0.0577308446440194,0.0576365384952049,0.984937350730675,0.314303730448442,1000,100
"W43","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99.6SNIa0.4TDE_lowz_withbias.csv.gz",0.0592690104357666,0.000642232669210828,0.0592053913590765,0.0591229357518352,0.98444802254277,0.289581257493486,1000,100
"W44","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99.7SNIa0.3CART_lowz_withbias.csv.gz",0.0727735378998671,0.000695266744616337,0.0727204701245925,0.0724173003647837,0.987853240851895,0.497449876581632,1000,100
"W45","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1AGN_lowz_withbias.csv.gz",0.0796011213062634,0.000700740460402609,0.0795548397174893,0.0795540599677755,0.990144658032325,0.676292318798981,1000,100
"W46","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1SLSN_lowz_withbias.csv.gz",0.0357302888712466,0.000596479990239007,0.035666277501081,0.0354185299285264,0.987003150899868,0.437837953969734,1000,100
"W47","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIa-91bg_lowz_withbias.csv.gz",0.0866502642024275,0.000680544354669175,0.0866423761663443,0.0867164802431979,0.976112153167668,0.0659445500288511,1000,100
"W48","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.0743859516889642,0.000662133611667008,0.074376961761902,0.0744367234538717,0.987857930367587,0.497791610602272,1000,100
"W49","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.0639821592712222,0.00070213778893377,0.0639383200109477,0.0638223522351352,0.983874580981603,0.262735861379413,1000,100
"W50","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.0698504413227545,0.000586908433950031,0.0698011875100751,0.069734355718399,0.981326892692747,0.168441767004865,1000,100
"W51","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.0721668319037331,0.000635620562510351,0.0722357302011624,0.0723276797123114,0.985741402593518,0.358678945570212,1000,100
"W52","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.072895586614642,0.00066229733201499,0.0728814210577639,0.0726983034342511,0.982809708054888,0.218640164288425,1000,100
"W53","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_perfect6000_lowz_withbias.csv.gz",0.0582828568430546,0.000570747416359272,0.0583087676606562,0.0582248502958532,0.991424601084874,0.778152072398661,1000,100
"W54","chains_75SNIa25SNIax_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0263460908852583,0.000717080789101326,0.0263915905721818,0.0263526317588785,0.987654735361287,0.483108873959907,1000,100
"W55","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.00102791009204095,0.000251549734167214,0.00100659986280997,0.000962598488862607,0.93582394564306,0.000108215265058581,1000,100
"W56","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.086840233708789,0.000740987384370825,0.0867837006328401,0.0870863019845234,0.99293516118808,0.884115660159958,1000,100
"W57","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0850645027862319,0.000669170417208727,0.0850018433977994,0.0846714035120812,0.986252226402744,0.389332605118059,1000,100
"W58","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0727502675242304,0.000709799437418933,0.072720218884312,0.0726630963478096,0.991261689483735,0.765534291769718,1000,100
"W59","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.0828712645677631,0.000642214724129246,0.0828998019300563,0.0828614161642468,0.994209175210269,0.949179614983034,1000,100
"W60","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.119672030467557,0.000738223760742072,0.119631934168585,0.119702778744948,0.989415359050391,0.617524399866603,1000,100
"W61","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.097520114365473,0.000810972931345485,0.0974391026911172,0.0976001940424005,0.986355501792304,0.39576233980163,1000,100
"W62","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.106758176389568,0.00071755222325943,0.106835182232659,0.106953590415441,0.977544559615657,0.0854189029314141,1000,100
"W63","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.0825312132496841,0.00072655643635543,0.0825758042395582,0.082354078928374,0.994281629814455,0.952031851064541,1000,100
"W64","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.0988783190919265,0.000661530326851093,0.098750032610757,0.0984675103193141,0.969643002163627,0.0207578188401297,1000,100
"W65","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.106044819025556,0.00073661050465261,0.106020006839371,0.106155386484008,0.993369967422555,0.909344166181148,1000,100
"W66","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.100093851464163,0.000646651903336672,0.100046560503104,0.100107930606169,0.98076691034519,0.152471886930225,1000,100
"W67","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.102831562486053,0.000730761668523882,0.102883497239198,0.102805035559643,0.984781931286661,0.306266840194018,1000,100
"W68","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.09968514585205,0.000613475773105151,0.0996648457451425,0.0997997228600463,0.988048146144508,0.511763952521037,1000,100
"W69","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99.6SNIa0.4TDE_lowz_withbias.csv.gz",0.100974951069987,0.00071214939518475,0.100917651320036,0.100897336550466,0.988728794325009,0.56338876092245,1000,100
"W70","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99.7SNIa0.3CART_lowz_withbias.csv.gz",0.114614713928457,0.000708835444186833,0.114551188301347,0.114776208541838,0.990722040147776,0.722834674101504,1000,100
"W71","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1AGN_lowz_withbias.csv.gz",0.121350179874417,0.000708019403911151,0.121367180003974,0.121287979983561,0.990804321843044,0.729414995214577,1000,100
"W72","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1SLSN_lowz_withbias.csv.gz",0.0776767427601947,0.000695162739778994,0.0776606846377027,0.0773462860596951,0.987408289229662,0.46565326102498,1000,100
"W73","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIa-91bg_lowz_withbias.csv.gz",0.12847017706548,0.000758645947705449,0.128463882979617,0.128624963510817,0.98545967325955,0.342593007204202,1000,100
"W74","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.116154141479702,0.000660134410737145,0.11620644044144,0.116256372918907,0.985152854136801,0.325735356357938,1000,100
"W75","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.105728635947801,0.000719937783654829,0.105715092042606,0.105802135648103,0.98739799031932,0.464932442741557,1000,100
"W76","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.111605664564449,0.000666191328175134,0.111669416307106,0.111590101177136,0.986761936689396,0.421816963339187,1000,100
"W77","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.11397008093516,0.000736964564572239,0.113920997235569,0.113718121853508,0.987421475046514,0.466577158749426,1000,100
"W78","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.114707470748053,0.00078240333456604,0.114681854380488,0.114508824350421,0.980908184607326,0.156359214315806,1000,100
"W79","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_perfect6000_lowz_withbias.csv.gz",0.100011672843889,0.000617427666944823,0.100058377459292,0.100096007250998,0.991927588295609,0.815955085322955,1000,100
"W80","chains_75SNIa25SNII_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0681850582133419,0.000684061805480253,0.0682123497776773,0.0680905862874925,0.986371576502665,0.396770114346193,1000,100
"W81","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.00118201002854579,0.000217494324918121,0.00114651197516137,0.00109438545876292,0.932269966663968,6.71075434621343e-05,1000,100
"W82","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0023017036795433,0.00054275064459075,0.00227064515810727,0.00199742040936544,0.970448774505307,0.0239268832413245,1000,100
"W83","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.014121253617098,0.000698301786337333,0.0140399847389098,0.0141620139970272,0.984941145376906,0.314502123024952,1000,100
"W84","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.00420585955807492,0.000701605864679994,0.00420090418051504,0.00422055160334396,0.991094701524156,0.752451962638568,1000,100
"W85","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.0330373138615123,0.000724399757556614,0.032999078144173,0.0329389199163767,0.991700903533263,0.799158919218233,1000,100
"W86","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.010784932059562,0.00066987698160901,0.0106820538286778,0.0103404988991549,0.970499065043319,0.0241405280437497,1000,100
"W87","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.0200123199131404,0.000775782767250889,0.0199883016953361,0.020200658821059,0.992227759404635,0.837471675075789,1000,100
"W88","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.00431655145486713,0.000694811132181648,0.00417282397776136,0.0037009851583358,0.970262346932162,0.023151775158008,1000,100
"W89","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.0122011315903451,0.000674486893504716,0.0122034790210686,0.0122218173533244,0.988168815951743,0.520736997482904,1000,100
"W90","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.0192517970895549,0.000776529494446197,0.0192410837683858,0.0193399597823941,0.986291603930088,0.391774997520948,1000,100
"W91","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.0133066945988208,0.000773826537825494,0.0133299479425772,0.0131903065704513,0.990794955206825,0.728666920135461,1000,100
"W92","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.0162170912277443,0.000723296203672205,0.0161839322981408,0.0163943487704286,0.98869135397587,0.560489309431023,1000,100
"W93","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.0128779306743356,0.000764226160180489,0.0128066327728076,0.0129369665442285,0.991638441783594,0.794457870114537,1000,100
"W94","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99.6SNIa0.4TDE_lowz_withbias.csv.gz",0.0143579673966264,0.000765405623311925,0.0143279490748424,0.0140623996104179,0.993079266435355,0.892795428477603,1000,100
"W95","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99.7SNIa0.3CART_lowz_withbias.csv.gz",0.0279796485853323,0.000674351083339611,0.0279749965872488,0.0281869924768909,0.986796488483483,0.42408659574043,1000,100
"W96","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1AGN_lowz_withbias.csv.gz",0.0345979046007151,0.000710155914888,0.0345473231932349,0.0344115537942866,0.992888739265934,0.881255500104093,1000,100
"W97","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1SLSN_lowz_withbias.csv.gz",0.00918354904550761,0.00068685039647252,0.00926336923332094,0.00929845212451767,0.98317122388105,0.232804048957333,1000,100
"W98","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIa-91bg_lowz_withbias.csv.gz",0.0417579650045763,0.000783879791796166,0.0417866710422077,0.0417174665709249,0.983239764158058,0.235580872280015,1000,100
"W99","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.0293467903406446,0.000729313299537643,0.0292921203673204,0.0292644595642974,0.980122113217353,0.135874954120889,1000,100
"W100","chains_90SNIa10SNIax_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.0188846651006758,0.000645198189575434,0.0189260253043654,0.0188761796888929,0.991076789850748,0.751040765929764,1000,100
