"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_72SNIa28SNII_lowz_withbias.csv.gz",0.00103986919298847,0.000312700472610136,0.000963675056667644,0.000863136516354721,0.836265324011465,3.8069790334724e-09,1000,100
"W1","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNIax_lowz_withbias.csv.gz",0.0411194164264998,0.000727688932853646,0.041075411540656,0.0408694695708884,0.979110552471658,0.113301981709869,1000,100
"W2","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.00151725397180152,0.000435143883446942,0.00144536379948371,0.00119548713901447,0.949804798036162,0.000805395379783791,1000,100
"W3","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.0622339529930472,0.000747876143224895,0.0623516711227202,0.0622821078396748,0.987339128461521,0.460826253576721,1000,100
"W4","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.082463966312376,0.000699562974854589,0.0824726648821607,0.082438699034991,0.988058933616651,0.512562724866749,1000,100
"W5","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0549826884642074,0.000631299382332648,0.0549512812375777,0.0548921309237365,0.985150784491657,0.325623971093724,1000,100
"W6","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.0950118473178987,0.000828092937075531,0.0949852705509542,0.0952277387035629,0.989812819939195,0.649470444189677,1000,100
"W7","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.115110493280939,0.00076703391586247,0.115147544703944,0.11504752632703,0.984142238136507,0.274985690079701,1000,100
"W8","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.101581872778794,0.000790312147625873,0.101615637315777,0.101846555887465,0.985820742048238,0.363314222356533,1000,100
"W9","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.100189236731421,0.000768835318593203,0.100305181423238,0.100354321297077,0.955909375160307,0.00207660565461265,1000,100
