case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[86, 64]",95.0,"[2.87, 2.13]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8515,0.0398,0.309,0.0052,-1.04,0.02,0.31,4.2e-3,-99,-99
98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.8705,0.0275,0.3107,0.0047,-1.06,0.02,0.31,3.9e-3,-99,-99
99SNIa1SNIa-91bg,91bg,41,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.842,0.0457,0.309,0.0058,-1.03,0.02,0.3,4.8e-3,-99,-99
99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8705,0.0241,0.3085,0.0049,-1.04,0.02,0.3,4.5e-3,-99,-99
95SNIa5SNII,"['II', 'II', 'II']","[2, 12, 14]",2850,"[66, 77, 7]",95.0,"[2.2, 2.57, 0.23]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8705,0.0211,0.311,0.0043,-1.07,0.02,0.31,3.2e-3,-99,-99
99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.804,0.0138,0.3032,0.0053,-1.05,0.02,0.31,4.0e-3,-99,-99
fiducial3000,"['II', 'Ibc', 'II', 'Iax', 'CART']","[2, 13, 14, 43, 63]",2913,"[40, 4, 6, 36, 1]",97.1,"[1.33, 0.13, 0.2, 1.2, 0.03]",0.9473684210526315,0.971,0.971,0.9428409999999999,0.8911540642722117,-0.88,0.0084,0.3046,0.005,-1.04,0.02,0.3,4.9e-3,-99,-99
perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.88,0.0125,0.3071,0.0049,-1.04,0.02,0.3,4.8e-3,-99,-99
99.6SNIa0.4TDE,TDE,64,2988,12,99.6,0.4,0.9927404718693283,0.996,0.996,0.992016,0.984142857142857,-0.861,0.0398,0.309,0.0053,-1.04,0.02,0.3,4.7e-3,-99,-99
90SNIa10SNII,"['II', 'II', 'II']","[2, 12, 14]",2700,"[151, 123, 26]",90.0,"[5.03, 4.1, 0.87]",0.8185117967332124,0.9,0.9,0.81,0.675,-0.9655,0.0307,0.311,0.004,-1.07,0.02,0.31,3.1e-3,-99,-99
98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[39, 18, 3]",98.0,"[1.3, 0.6, 0.1]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.88,0.0116,0.3064,0.0049,-1.03,0.02,0.3,4.7e-3,-99,-99
