case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,wfit_w,wfit_wsig,wfit_om,wfit_omsig,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w,stan_wsig,stan_om,stan_omsig,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz
99SNIa1SNIax,Iax,52,2970,2970,99.0,99.0,-0.65,0.0913,0.3262,0.0409,-1.093,0.1452,0.4113,0.0382,-1.62,0.11,0.46,0.02,-1.63,0.12,0.46,0.02
95SNIa5AGN,AGN,88,2850,2850,95.0,95.0,-0.397,0.057,0.3225,0.041,-2.04,0.0637,0.5463,0.0102,-1.94,0.05,0.5,0.48,-1.94,0.05,,
98SNIa2SLSN-I,SLSN,95,2940,2940,98.0,98.0,-2.04,0.5279,0.54,0.0686,-1.777,0.1826,0.55,0.0221,-1.94,0.05,0.49,0.47,-1.94,0.05,,
98SNIa2SNIax,Iax,52,2940,2940,98.0,98.0,-0.636,0.0906,0.3287,0.0413,-1.208,0.171,0.4363,0.0373,-1.67,0.11,0.46,0.02,-1.68,0.12,0.47,0.02
57SNIa43AGNfail3000,AGN,88,2816,2816,94.0,94.0,-0.072,0.0425,0.315,0.0401,-2.04,0.0293,0.5262,0.0096,-1.96,0.03,0.5,0.48,-1.96,0.03,,
50SNIa50SNIaxfail3000,Iax,52,2886,2886,96.0,96.0,-0.348,0.0638,0.3162,0.0403,-2.04,0.1607,0.5312,0.0212,-1.79,0.12,0.47,0.02,-1.8,0.11,0.48,0.02
83SNIa17SLSN-Ifail3000,SLSN,95,2935,2935,98.0,98.0,-0.503,0.5695,0.3588,0.0879,-2.04,0.1513,0.575,0.0176,-1.95,0.04,0.49,0.47,-1.95,0.04,0.49,
95SNIa5SNII,II,42,2850,2850,95.0,95.0,-0.447,0.0605,0.3213,0.0407,-2.04,0.0988,0.535,0.0128,-1.9,0.08,0.49,0.01,-1.9,0.07,0.49,0.01
99SNIa1SNIa-91bg,91bg,67,2970,2970,99.0,99.0,-0.713,0.103,0.3275,0.0407,-0.992,0.1147,0.38,0.0374,-1.5,0.11,0.44,0.02,-1.51,0.11,0.44,0.02
98SNIa2SNIa-91bg,91bg,67,2940,2940,98.0,98.0,-0.683,0.0934,0.3238,0.0402,-0.991,0.1152,0.3813,0.0376,-1.51,0.11,0.44,0.02,-1.52,0.11,0.44,0.02
68SNIa32SNII,II,42,2040,2040,68.0,68.0,0.04,0.0012,0.2787,0.04,-2.04,0.0051,0.46,0.0077,-1.99,-2.0,0.5,0.49,-1.99,-2.0,0.49,
68SNIa32SNIbcfail3000,Ibc,62,2685,2685,90.0,90.0,0.04,0.0146,0.3137,0.0401,-2.04,0.0288,0.5475,0.0094,-1.98,0.02,0.5,0.49,-1.98,0.02,,
90SNIa10SLSN-Ifail3000,SLSN,95,2935,2935,98.0,98.0,-2.04,0.6178,0.5488,0.0854,-1.96,0.149,0.5675,0.0173,-1.95,0.04,0.49,0.47,-1.95,0.04,0.49,
95SNIa5TDEfail3000,TDE,15,2975,2975,99.0,99.0,-0.748,0.1393,0.3425,0.0439,-1.118,0.1451,0.4113,0.0374,-1.55,0.12,0.44,0.02,-1.56,0.11,0.45,0.02
fiducial3000fail3001,"['TDE', 'II', 'Iax', 'Ibc', '91bg', 'AGN', 'SLSN']","[15, 42, 52, 62, 67, 88, 95]",2608,"[25, 69, 87, 119, 73, 2, 18]",87.0,"[1.0, 2.0, 3.0, 4.0, 2.0, 0.0, 1.0]",-0.08,0.0356,0.315,0.0401,-2.04,0.035,0.5538,0.0093,-1.98,0.02,0.5,0.49,-1.98,0.02,,
90SNIa10SNII,II,42,2700,2700,90.0,90.0,-0.289,0.0459,0.3175,0.0403,-2.04,0.0329,0.52,0.0088,-1.96,0.03,0.5,0.49,-1.96,0.04,,
98SNIa2SNIbc,Ibc,62,2940,2940,98.0,98.0,-0.637,0.0909,0.3275,0.0413,-1.159,0.1639,0.4275,0.0382,-1.66,0.12,0.46,0.02,-1.67,0.12,0.47,0.02
