case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[92, 58]",95.0,"[3.07, 1.93]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8515,0.0455,0.31,0.0053,-1.05,0.02,0.31,3.8e-3,-99,-99
98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.861,0.0374,0.309,0.0051,-1.04,0.02,0.31,4.4e-3,-99,-99
99SNIa1SNIa-91bg,91bg,41,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8135,0.0369,0.2975,0.0056,-1.03,0.02,0.3,4.9e-3,-99,-99
99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.8135,0.0389,0.301,0.0055,-1.06,0.02,0.31,3.7e-3,-99,-99
95SNIa5SNII,"['II', 'II', 'II']","[2, 12, 14]",2850,"[78, 66, 6]",95.0,"[2.6, 2.2, 0.2]",0.9092558983666061,0.95,0.95,0.9025,0.8204545454545454,-0.8895,0.0098,0.311,0.0045,-1.07,0.02,0.31,3.7e-3,-99,-99
99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.9801,0.9608823529411764,-0.7945,0.0063,0.3011,0.0006,-1.06,0.02,0.31,3.8e-3,-99,-99
fiducial3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax']","[2, 3, 12, 13, 14, 41, 43]",2937,"[35, 1, 1, 1, 7, 1, 17]",97.9,"[1.17, 0.03, 0.03, 0.03, 0.23, 0.03, 0.57]",0.9618874773139746,0.979,0.979,0.958441,0.9198090211132437,-0.8135,0.0381,0.2982,0.0056,-1.04,0.02,0.3,4.4e-3,-99,-99
perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.842,0.0475,0.309,0.0057,-1.04,0.02,0.3,4.4e-3,-99,-99
99.6SNIa0.4TDE,TDE,64,2988,12,99.6,0.4,0.9927404718693283,0.996,0.996,0.992016,0.984142857142857,-0.804,0.013,0.302,0.0053,-1.04,0.02,0.3,4.5e-3,-99,-99
90SNIa10SNII,"['II', 'II', 'II']","[2, 12, 14]",2700,"[147, 123, 30]",90.0,"[4.9, 4.1, 1.0]",0.8185117967332124,0.9,0.9,0.81,0.675,-0.918,0.0347,0.3095,0.0046,-1.08,0.02,0.31,2.9e-3,-99,-99
98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[34, 23, 3]",98.0,"[1.13, 0.77, 0.1]",0.9637023593466425,0.98,0.98,0.9603999999999999,0.9234615384615384,-0.8515,0.0446,0.309,0.0055,-1.04,0.02,0.3,4.6e-3,-99,-99
